,Acculynk (Acquired by First Data),Aeris Secure,Axiado,AllClear ID,Cybereason,Accolade Technology,BeyondTrust,Advanced Technology Group (ATG-NYC),Darktrace,DeepView,CyberMDX,Active Navigation,CNS – Cyber Security Specialists,AVG (Acquired by Avast),A-LIGN,ADF Solutions,Awareness Technologies,Avatier,AvePoint,Avow Security,Balabit (Acquired by One Identity),CYFOR Secure,Allure Security Technology,Encedo,"AvTek Solutions, Inc.",Cybersift,Banyan Security,"Alchemy Security, LLC",Auconet,Beyond Identity,DataGlobal,context information (Acquired by Babcock),Binary Defense,Device Authority,CybeReady,Envelop Risk Analytics,baffle,Allegro Software,Adobe,Egress,Axonius,AlertLogic,Barricade IT Security,Actifile Ltd.,Barracuda,Altitude Networks,CNS,ABD Technology Inc,CyberSmart,ECSC,DigitalXRAID Ltd,AuthenWare,Balbix,Bitdefender,Aligned Technology Solutions,Auth0,Aura,Bitglass,Abira Security,4A Security & Compliance,AaDya Security,ACI Solutions,Biscom,Comtact Ltd.,Data Shepherd,Crypta Labs,CSL DualCom,6Wind,Avanan,Agio,Cypaw,1Kosmos – BlockID,Alt-N Technologies (Acquired by BlackBerry),Absolute,360 Cyber Secure,crossword,Cossack Labs,Cyanre,CyNation,Attivo Networks,Accellion,Cyberfit,ActZero.ai,CYSIAM,e2e-assure ltd,ENTERSEKT,Aware,BinarySec,Axio Global,Beachhead Security,Accurics,Abnormal Security,Allgress,Active Cypher,Accertify,CyberX,Axiad IDS,CybSafe,AUTHEN2CATE,Awake Security,Deep Secure,Beyond Security,Axis Security,Avaria Networks,AlienVault – AT&T,Automox,Codified Security,Akamai Technologies,AIS,Comis,Authoriti Network,Axway,14 Nine,ECS Consulting,Agari,CYREN,Alert Cyber,Agile1,CNS Group,Algosec,Bastille,CyberOwl,Encode UK Limited,Cybertonica Ltd.,Allot Communications,bettercloud,exonar,"CyberArk Software, Inc.",Acalvio Technologies,AfGlobe Communications – ACI Solutions,Bayshore,"Advanced Network Systems, Inc.","BIO-key International, Inc.",AHA Products Group,A10 Networks,CyberQ Group,Axiom Cyber Solutions,Authentic8,Clearswift (Acquired by RUAG),AuthLite,AccessData Group,Cyberseer,Bandura,Elemendar,Corax Cyber Security,eXate,Abacode Cybersecurity & Compliance,"BARR Advisory, P.A.",SCORE
Cyabra,82.45,74.16,93.9,100.0,90.18,100.0,94.42,74.16,84.96,85.64,86.83,87.69,74.16,75.49,74.16,82.99,82.99,89.91,87.69,74.16,93.17,74.16,82.99,89.52,74.16,76.75,76.75,74.16,82.99,90.8,89.52,82.99,74.16,91.15,74.16,74.16,89.52,89.52,89.52,100.0,84.96,90.31,74.16,86.93,90.62,80.91,86.83,74.16,82.45,74.16,74.16,92.55,86.83,82.62,74.16,90.8,86.95,87.11,74.16,74.16,82.62,100.0,89.52,74.16,87.1,84.63,76.75,76.75,90.84,74.16,82.99,90.8,76.75,84.63,74.16,82.45,89.52,89.74,76.75,84.72,87.69,74.16,81.34,74.16,74.16,92.55,89.52,100.0,82.45,84.63,85.56,76.75,85.64,71.72,82.99,84.96,90.8,74.16,100.0,84.72,90.02,89.59,90.08,74.16,82.99,89.95,82.99,92.02,74.16,74.16,100.0,93.91,74.16,74.16,76.75,88.2,74.16,74.16,74.16,74.16,76.75,100.0,84.96,100.0,75.49,84.85,100.0,93.91,82.99,84.96,82.45,74.16,90.8,89.52,81.57,74.16,74.16,76.75,93.18,90.8,82.99,74.16,84.96,82.99,85.64,85.56,74.16,74.16,5.571428571428572
BATM,76.11,63.35,83.87,100.0,80.28,100.0,84.03,63.35,71.82,67.91,73.61,76.54,63.35,78.01,63.35,63.53,63.53,79.36,76.54,63.35,76.81,63.35,63.53,79.35,63.35,75.18,75.18,63.35,63.53,81.59,79.35,63.53,63.35,87.04,63.35,63.35,79.35,79.35,79.35,100.0,71.82,77.48,63.35,78.93,86.7,71.64,73.61,63.35,76.11,63.35,63.35,80.15,73.61,79.11,63.35,81.59,71.52,72.67,63.35,63.35,79.11,100.0,79.35,63.35,87.34,79.84,75.18,75.18,77.87,63.35,63.53,81.59,75.18,79.84,63.35,76.11,79.35,73.62,75.18,68.55,76.54,63.35,72.66,63.35,63.35,80.15,79.35,100.0,76.11,79.84,68.28,75.18,67.91,67.54,63.53,71.82,81.59,63.35,100.0,68.55,77.93,71.54,82.16,63.35,63.53,75.6,63.53,87.98,63.35,63.35,100.0,79.33,63.35,63.35,75.18,78.52,63.35,63.35,63.35,63.35,75.18,100.0,71.82,100.0,78.01,73.83,100.0,79.33,63.53,71.82,76.11,63.35,81.59,79.35,83.74,63.35,63.35,75.18,81.88,81.59,63.53,63.35,71.82,63.53,67.91,68.28,63.35,63.35,5.478260869565218
MinerEye,83.97,74.5,94.84,100.0,88.06,100.0,93.86,74.5,80.69,80.63,83.73,87.68,74.5,79.86,74.5,75.79,75.79,91.24,87.68,74.5,89.51,74.5,75.79,89.21,74.5,79.05,79.05,74.5,75.79,92.67,89.21,75.79,74.5,94.17,74.5,74.5,89.21,89.21,89.21,100.0,80.69,87.59,74.5,88.38,92.5,78.93,83.73,74.5,83.97,74.5,74.5,90.44,83.73,85.54,74.5,92.67,83.16,82.03,74.5,74.5,85.54,100.0,89.21,74.5,90.08,86.72,79.05,79.05,86.97,74.5,75.79,92.67,79.05,86.72,74.5,83.97,89.21,85.71,79.05,79.31,87.68,74.5,82.68,74.5,74.5,90.44,89.21,100.0,83.97,86.72,78.9,79.05,80.63,73.96,75.79,80.69,92.67,74.5,100.0,79.31,86.73,83.55,92.23,74.5,75.79,85.89,75.79,94.52,74.5,74.5,100.0,91.6,74.5,74.5,79.05,85.36,74.5,74.5,74.5,74.5,79.05,100.0,80.69,100.0,79.86,84.0,100.0,91.6,75.79,80.69,83.97,74.5,92.67,89.21,84.94,74.5,74.5,79.05,91.0,92.67,75.79,74.5,80.69,75.79,80.63,78.9,74.5,74.5,5.9642857142857135
Enquantum,68.97,54.26,80.8,100.0,79.08,100.0,79.38,54.26,72.5,68.86,71.32,73.03,54.26,72.37,54.26,69.42,69.42,71.13,73.03,54.26,77.45,54.26,69.42,81.17,54.26,70.8,70.8,54.26,69.42,74.88,81.17,69.42,54.26,80.61,54.26,54.26,81.17,81.17,81.17,100.0,72.5,74.52,54.26,74.55,81.24,81.71,71.32,54.26,68.97,54.26,54.26,77.95,71.32,71.27,54.26,74.88,71.62,78.61,54.26,54.26,71.27,100.0,81.17,54.26,84.47,79.6,70.8,70.8,81.76,54.26,69.42,74.88,70.8,79.6,54.26,68.97,81.17,73.56,70.8,73.05,73.03,54.26,68.68,54.26,54.26,77.95,81.17,100.0,68.97,79.6,75.49,70.8,68.86,70.62,69.42,72.5,74.88,54.26,100.0,73.05,77.51,75.17,78.78,54.26,69.42,78.15,69.42,83.11,54.26,54.26,100.0,77.13,54.26,54.26,70.8,79.87,54.26,54.26,54.26,54.26,70.8,100.0,72.5,100.0,72.37,73.99,100.0,77.13,69.42,72.5,68.97,54.26,74.88,81.17,81.77,54.26,54.26,70.8,79.79,74.88,69.42,54.26,72.5,69.42,68.86,75.49,54.26,54.26,2.571428571428572
SecBI,84.61,75.67,92.45,100.0,93.64,100.0,95.09,75.67,88.27,88.49,89.79,89.54,75.67,78.56,75.67,86.22,86.22,88.04,89.54,75.67,93.38,75.67,86.22,91.45,75.67,79.13,79.13,75.67,86.22,86.79,91.45,86.22,75.67,90.93,75.67,75.67,91.45,91.45,91.45,100.0,88.27,92.31,75.67,89.27,91.3,80.74,89.79,75.67,84.61,75.67,75.67,93.17,89.79,85.27,75.67,86.79,90.17,89.87,75.67,75.67,85.27,100.0,91.45,75.67,88.92,87.26,79.13,79.13,93.48,75.67,86.22,86.79,79.13,87.26,75.67,84.61,91.45,92.49,79.13,88.44,89.54,75.67,83.77,75.67,75.67,93.17,91.45,100.0,84.61,87.26,87.84,79.13,88.49,74.71,86.22,88.27,86.79,75.67,100.0,88.44,93.16,91.32,88.52,75.67,86.22,93.39,86.22,90.36,75.67,75.67,100.0,94.62,75.67,75.67,79.13,91.1,75.67,75.67,75.67,75.67,79.13,100.0,88.27,100.0,78.56,85.62,100.0,94.62,86.22,88.27,84.61,75.67,86.79,91.45,83.33,75.67,75.67,79.13,94.76,86.79,86.22,75.67,88.27,86.22,88.49,87.84,75.67,75.67,7.464285714285714
Securepush,77.72,66.16,92.2,100.0,85.13,100.0,90.41,66.16,75.19,72.79,77.01,82.32,66.16,78.77,66.16,68.97,68.97,85.79,82.32,66.16,83.94,66.16,68.97,87.09,66.16,75.54,75.54,66.16,68.97,89.81,87.09,68.97,66.16,93.0,66.16,66.16,87.09,87.09,87.09,100.0,75.19,82.18,66.16,84.62,92.54,70.78,77.01,66.16,77.72,66.16,66.16,85.64,77.01,80.91,66.16,89.81,76.47,75.94,66.16,66.16,80.91,100.0,87.09,66.16,88.74,86.92,75.54,75.54,82.61,66.16,68.97,89.81,75.54,86.92,66.16,77.72,87.09,79.57,75.54,74.06,82.32,66.16,76.59,66.16,66.16,85.64,87.09,100.0,77.72,86.92,71.4,75.54,72.79,71.96,68.97,75.19,89.81,66.16,100.0,74.06,82.76,78.7,89.49,66.16,68.97,82.35,68.97,92.52,66.16,66.16,100.0,86.25,66.16,66.16,75.54,80.31,66.16,66.16,66.16,66.16,75.54,100.0,75.19,100.0,78.77,74.96,100.0,86.25,68.97,75.19,77.72,66.16,89.81,87.09,81.92,66.16,66.16,75.54,86.21,89.81,68.97,66.16,75.19,68.97,72.79,71.4,66.16,66.16,4.821428571428573
Brandefender,74.06,61.94,89.37,100.0,81.04,100.0,86.88,61.94,74.67,71.36,75.32,76.94,61.94,71.92,61.94,69.08,69.08,83.74,76.94,61.94,83.86,61.94,69.08,81.31,61.94,72.91,72.91,61.94,69.08,89.49,81.31,69.08,61.94,88.34,61.94,61.94,81.31,81.31,81.31,100.0,74.67,79.97,61.94,76.77,87.44,70.24,75.32,61.94,74.06,61.94,61.94,85.17,75.32,74.6,61.94,89.49,72.98,73.9,61.94,61.94,74.6,100.0,81.31,61.94,82.47,77.41,72.91,72.91,79.17,61.94,69.08,89.49,72.91,77.41,61.94,74.06,81.31,76.83,72.91,71.24,76.94,61.94,69.34,61.94,61.94,85.17,81.31,100.0,74.06,77.41,71.98,72.91,71.36,62.69,69.08,74.67,89.49,61.94,100.0,71.24,80.61,77.73,85.65,61.94,69.08,78.11,69.08,89.19,61.94,61.94,100.0,84.17,61.94,61.94,72.91,78.07,61.94,61.94,61.94,61.94,72.91,100.0,74.67,100.0,71.92,72.28,100.0,84.17,69.08,74.67,74.06,61.94,89.49,81.31,76.78,61.94,61.94,72.91,83.5,89.49,69.08,61.94,74.67,69.08,71.36,71.98,61.94,61.94,2.565217391304348
Kazuar,84.81,73.4,92.79,100.0,87.38,100.0,91.57,73.4,81.6,81.28,84.08,88.33,73.4,79.51,73.4,77.25,77.25,87.49,88.33,73.4,88.08,73.4,77.25,91.32,73.4,81.4,81.4,73.4,77.25,87.5,91.32,77.25,73.4,91.29,73.4,73.4,91.32,91.32,91.32,100.0,81.6,87.35,73.4,87.48,92.36,87.8,84.08,73.4,84.81,73.4,73.4,89.0,84.08,84.8,73.4,87.5,82.67,83.96,73.4,73.4,84.8,100.0,91.32,73.4,91.68,86.09,81.4,81.4,88.19,73.4,77.25,87.5,81.4,86.09,73.4,84.81,91.32,85.95,81.4,79.16,88.33,73.4,82.14,73.4,73.4,89.0,91.32,100.0,84.81,86.09,82.34,81.4,81.28,74.22,77.25,81.6,87.5,73.4,100.0,79.16,87.14,83.93,88.8,73.4,77.25,85.35,77.25,92.96,73.4,73.4,100.0,90.12,73.4,73.4,81.4,86.74,73.4,73.4,73.4,73.4,81.4,100.0,81.6,100.0,79.51,88.07,100.0,90.12,77.25,81.6,84.81,73.4,87.5,91.32,87.72,73.4,73.4,81.4,91.67,87.5,77.25,73.4,81.6,77.25,81.28,82.34,73.4,73.4,5.913043478260871
IntSights,82.86,71.34,89.91,100.0,87.32,100.0,89.94,71.34,85.36,84.36,86.27,85.09,71.34,74.23,71.34,82.6,82.6,85.4,85.09,71.34,90.58,71.34,82.6,87.42,71.34,79.85,79.85,71.34,82.6,85.61,87.42,82.6,71.34,86.85,71.34,71.34,87.42,87.42,87.42,100.0,85.36,88.21,71.34,82.01,87.53,84.71,86.27,71.34,82.86,71.34,71.34,90.77,86.27,80.49,71.34,85.61,83.85,85.21,71.34,71.34,80.49,100.0,87.42,71.34,85.03,78.81,79.85,79.85,87.75,71.34,82.6,85.61,79.85,78.81,71.34,82.86,87.42,87.33,79.85,81.78,85.09,71.34,77.51,71.34,71.34,90.77,87.42,100.0,82.86,78.81,85.96,79.85,84.36,67.53,82.6,85.36,85.61,71.34,100.0,81.78,88.89,86.79,84.9,71.34,82.6,85.87,82.6,87.98,71.34,71.34,100.0,90.51,71.34,71.34,79.85,87.23,71.34,71.34,71.34,71.34,79.85,100.0,85.36,100.0,74.23,85.27,100.0,90.51,82.6,85.36,82.86,71.34,85.61,87.42,81.56,71.34,71.34,79.85,90.84,85.61,82.6,71.34,85.36,82.6,84.36,85.96,71.34,71.34,5.9642857142857135
Claroty,84.67,71.97,87.63,100.0,89.3,100.0,90.36,71.97,84.38,81.67,85.73,84.77,71.97,81.55,71.97,78.52,78.52,83.75,84.77,71.97,86.64,71.97,78.52,86.3,71.97,82.37,82.37,71.97,78.52,82.57,86.3,78.52,71.97,89.05,71.97,71.97,86.3,86.3,86.3,100.0,84.38,87.76,71.97,84.89,89.78,77.72,85.73,71.97,84.67,71.97,71.97,88.91,85.73,85.41,71.97,82.57,83.61,83.04,71.97,71.97,85.41,100.0,86.3,71.97,88.7,82.98,82.37,82.37,86.5,71.97,78.52,82.57,82.37,82.98,71.97,84.67,86.3,85.49,82.37,81.14,84.77,71.97,80.35,71.97,71.97,88.91,86.3,100.0,84.67,82.98,80.68,82.37,81.67,72.38,78.52,84.38,82.57,71.97,100.0,81.14,88.59,83.37,84.72,71.97,78.52,85.94,78.52,88.54,71.97,71.97,100.0,88.21,71.97,71.97,82.37,87.49,71.97,71.97,71.97,71.97,82.37,100.0,84.38,100.0,81.55,81.93,100.0,88.21,78.52,84.38,84.67,71.97,82.57,86.3,85.44,71.97,71.97,82.37,89.96,82.57,78.52,71.97,84.38,78.52,81.67,80.68,71.97,71.97,7.464285714285714
CYREBRO,82.64,71.08,88.2,100.0,92.82,100.0,91.98,71.08,90.01,88.68,89.69,85.28,71.08,78.11,71.08,88.78,88.78,83.14,85.28,71.08,92.92,71.08,88.78,87.98,71.08,79.68,79.68,71.08,88.78,82.23,87.98,88.78,71.08,86.88,71.08,71.08,87.98,87.98,87.98,100.0,90.01,91.26,71.08,84.7,87.3,79.58,89.69,71.08,82.64,71.08,71.08,92.53,89.69,82.82,71.08,82.23,89.92,90.41,71.08,71.08,82.82,100.0,87.98,71.08,84.73,83.34,79.68,79.68,91.99,71.08,88.78,82.23,79.68,83.34,71.08,82.64,87.98,90.98,79.68,90.29,85.28,71.08,81.14,71.08,71.08,92.53,87.98,100.0,82.64,83.34,88.96,79.68,88.68,75.02,88.78,90.01,82.23,71.08,100.0,90.29,92.75,92.03,85.52,71.08,88.78,92.76,88.78,86.33,71.08,71.08,100.0,92.07,71.08,71.08,79.68,91.24,71.08,71.08,71.08,71.08,79.68,100.0,90.01,100.0,78.11,82.41,100.0,92.07,88.78,90.01,82.64,71.08,82.23,87.98,81.28,71.08,71.08,79.68,92.03,82.23,88.78,71.08,90.01,88.78,88.68,88.96,71.08,71.08,7.750000000000003
Assac Networks,66.04,50.99,76.78,100.0,71.68,100.0,74.99,50.99,60.6,55.37,61.35,67.48,50.99,75.39,50.99,52.14,52.14,68.79,67.48,50.99,65.97,50.99,52.14,74.24,50.99,68.61,68.61,50.99,52.14,73.44,74.24,52.14,50.99,81.3,50.99,50.99,74.24,74.24,74.24,100.0,60.6,66.5,50.99,72.44,81.75,59.38,61.35,50.99,66.04,50.99,50.99,69.44,61.35,71.63,50.99,73.44,60.8,61.16,50.99,50.99,71.63,100.0,74.24,50.99,80.36,78.65,68.61,68.61,67.4,50.99,52.14,73.44,68.61,78.65,50.99,66.04,74.24,62.04,68.61,59.65,67.48,50.99,65.8,50.99,50.99,69.44,74.24,100.0,66.04,78.65,54.47,68.61,55.37,68.85,52.14,60.6,73.44,50.99,100.0,59.65,67.54,61.88,77.1,50.99,52.14,67.28,52.14,80.87,50.99,50.99,100.0,68.35,50.99,50.99,68.61,67.18,50.99,50.99,50.99,50.99,68.61,100.0,60.6,100.0,75.39,60.33,100.0,68.35,52.14,60.6,66.04,50.99,73.44,74.24,76.2,50.99,50.99,68.61,70.25,73.44,52.14,50.99,60.6,52.14,55.37,54.47,50.99,50.99,5.678571428571429
Cycode,84.17,76.55,91.27,100.0,88.45,100.0,92.3,76.55,81.74,82.7,85.15,88.56,76.55,77.43,76.55,77.67,77.67,88.39,88.56,76.55,88.0,76.55,77.67,88.95,76.55,77.64,77.64,76.55,77.67,86.74,88.95,77.67,76.55,90.45,76.55,76.55,88.95,88.95,88.95,100.0,81.74,87.97,76.55,88.46,90.2,84.98,85.15,76.55,84.17,76.55,76.55,88.8,85.15,84.98,76.55,86.74,84.63,85.59,76.55,76.55,84.98,100.0,88.95,76.55,91.55,85.3,77.64,77.64,89.97,76.55,77.67,86.74,77.64,85.3,76.55,84.17,88.95,87.55,77.64,80.35,88.56,76.55,82.67,76.55,76.55,88.8,88.95,100.0,84.17,85.3,83.29,77.64,82.7,71.47,77.67,81.74,86.74,76.55,100.0,80.35,87.68,83.76,87.21,76.55,77.67,86.81,77.67,91.79,76.55,76.55,100.0,91.03,76.55,76.55,77.64,87.92,76.55,76.55,76.55,76.55,77.64,100.0,81.74,100.0,77.43,88.37,100.0,91.03,77.67,81.74,84.17,76.55,86.74,88.95,86.77,76.55,76.55,77.64,92.76,86.74,77.67,76.55,81.74,77.67,82.7,83.29,76.55,76.55,4.214285714285714
Hermetric,79.46,68.86,90.92,100.0,83.89,100.0,89.98,68.86,75.67,74.13,78.21,82.97,68.86,77.24,68.86,69.5,69.5,86.18,82.97,68.86,83.71,68.86,69.5,85.86,68.86,76.19,76.19,68.86,69.5,88.56,85.86,69.5,68.86,91.11,68.86,68.86,85.86,85.86,85.86,100.0,75.67,83.37,68.86,83.92,92.11,71.52,78.21,68.86,79.46,68.86,68.86,85.47,78.21,81.22,68.86,88.56,76.8,75.2,68.86,68.86,81.22,100.0,85.86,68.86,86.77,83.74,76.19,76.19,81.27,68.86,69.5,88.56,76.19,83.74,68.86,79.46,85.86,80.1,76.19,73.21,82.97,68.86,76.92,68.86,68.86,85.47,85.86,100.0,79.46,83.74,71.88,76.19,74.13,69.35,69.5,75.67,88.56,68.86,100.0,73.21,82.45,79.32,87.62,68.86,69.5,80.86,69.5,91.49,68.86,68.86,100.0,86.23,68.86,68.86,76.19,79.73,68.86,68.86,68.86,68.86,76.19,100.0,75.67,100.0,77.24,76.89,100.0,86.23,69.5,75.67,79.46,68.86,88.56,85.86,80.63,68.86,68.86,76.19,86.73,88.56,69.5,68.86,75.67,69.5,74.13,71.88,68.86,68.86,7.6521739130434785
Kovrr,83.77,79.09,89.13,100.0,84.51,100.0,90.41,79.09,75.6,78.32,81.31,86.59,79.09,79.8,79.09,70.26,70.26,90.0,86.59,79.09,83.72,79.09,70.26,83.26,79.09,74.81,74.81,79.09,70.26,87.54,83.26,70.26,79.09,90.77,79.09,79.09,83.26,83.26,83.26,100.0,75.6,83.88,79.09,89.65,85.89,67.86,81.31,79.09,83.77,79.09,79.09,85.02,81.31,87.66,79.09,87.54,82.62,76.53,79.09,79.09,87.66,100.0,83.26,79.09,85.3,85.32,74.81,74.81,81.29,79.09,70.26,87.54,74.81,85.32,79.09,83.77,83.26,82.76,74.81,76.36,86.59,79.09,86.25,79.09,79.09,85.02,83.26,100.0,83.77,85.32,71.01,74.81,78.32,75.5,70.26,75.6,87.54,79.09,100.0,76.36,81.35,76.47,89.33,79.09,70.26,82.24,70.26,88.53,79.09,79.09,100.0,87.83,79.09,79.09,74.81,80.24,79.09,79.09,79.09,79.09,74.81,100.0,75.6,100.0,79.8,80.75,100.0,87.83,70.26,75.6,83.77,79.09,87.54,83.26,80.6,79.09,79.09,74.81,85.66,87.54,70.26,79.09,75.6,70.26,78.32,71.01,79.09,79.09,7.2142857142857135
Rayzone Group,77.22,64.02,87.09,100.0,87.28,100.0,87.23,64.02,79.83,77.42,79.85,81.48,64.02,79.33,64.02,76.54,76.54,79.1,81.48,64.02,84.56,64.02,76.54,87.48,64.02,76.5,76.5,64.02,76.54,80.73,87.48,76.54,64.02,87.61,64.02,64.02,87.48,87.48,87.48,100.0,79.83,82.32,64.02,83.65,86.71,75.97,79.85,64.02,77.22,64.02,64.02,85.15,79.85,80.26,64.02,80.73,80.84,82.23,64.02,64.02,80.26,100.0,87.48,64.02,86.9,86.97,76.5,76.5,86.22,64.02,76.54,80.73,76.5,86.97,64.02,77.22,87.48,82.18,76.5,81.13,81.48,64.02,78.05,64.02,64.02,85.15,87.48,100.0,77.22,86.97,78.08,76.5,77.42,77.43,76.54,79.83,80.73,64.02,100.0,81.13,85.13,81.45,85.44,64.02,76.54,86.37,76.54,86.09,64.02,64.02,100.0,85.23,64.02,64.02,76.5,84.23,64.02,64.02,64.02,64.02,76.5,100.0,79.83,100.0,79.33,76.49,100.0,85.23,76.54,79.83,77.22,64.02,80.73,87.48,82.35,64.02,64.02,76.5,85.27,80.73,76.54,64.02,79.83,76.54,77.42,78.08,64.02,64.02,5.82608695652174
Cylus,84.59,70.74,88.35,100.0,90.17,100.0,90.58,70.74,88.54,85.52,88.48,83.83,70.74,79.4,70.74,84.53,84.53,84.28,83.83,70.74,91.17,70.74,84.53,85.72,70.74,83.28,83.28,70.74,84.53,84.26,85.72,84.53,70.74,87.77,70.74,70.74,85.72,85.72,85.72,100.0,88.54,89.51,70.74,82.18,87.28,80.44,88.48,70.74,84.59,70.74,70.74,92.35,88.48,83.47,70.74,84.26,85.98,86.33,70.74,70.74,83.47,100.0,85.72,70.74,85.39,79.52,83.28,83.28,87.95,70.74,84.53,84.26,83.28,79.52,70.74,84.59,85.72,87.7,83.28,85.01,83.83,70.74,78.98,70.74,70.74,92.35,85.72,100.0,84.59,79.52,85.84,83.28,85.52,71.17,84.53,88.54,84.26,70.74,100.0,85.01,90.86,87.38,85.4,70.74,84.53,87.71,84.53,87.48,70.74,70.74,100.0,90.35,70.74,70.74,83.28,89.59,70.74,70.74,70.74,70.74,83.28,100.0,88.54,100.0,79.4,82.67,100.0,90.35,84.53,88.54,84.59,70.74,84.26,85.72,83.35,70.74,70.74,83.28,90.5,84.26,84.53,70.74,88.54,84.53,85.52,85.84,70.74,70.74,6.714285714285714
Checkmarx,83.32,78.0,92.3,100.0,89.2,100.0,94.06,78.0,79.26,82.11,83.73,90.82,78.0,78.87,78.0,76.12,76.12,88.79,90.82,78.0,86.86,78.0,76.12,91.67,78.0,74.97,74.97,78.0,76.12,86.37,91.67,76.12,78.0,91.93,78.0,78.0,91.67,91.67,91.67,100.0,79.26,88.5,78.0,92.94,93.43,74.03,83.73,78.0,83.32,78.0,78.0,86.99,83.73,86.56,78.0,86.37,85.81,82.13,78.0,78.0,86.56,100.0,91.67,78.0,89.21,91.44,74.97,74.97,88.27,78.0,76.12,86.37,74.97,91.44,78.0,83.32,91.67,88.04,74.97,81.3,90.82,78.0,86.53,78.0,78.0,86.99,91.67,100.0,83.32,91.44,77.45,74.97,82.11,77.36,76.12,79.26,86.37,78.0,100.0,81.3,86.72,85.23,89.26,78.0,76.12,88.86,76.12,91.15,78.0,78.0,100.0,91.27,78.0,78.0,74.97,83.94,78.0,78.0,78.0,78.0,74.97,100.0,79.26,100.0,78.87,83.4,100.0,91.27,76.12,79.26,83.32,78.0,86.37,91.67,81.58,78.0,78.0,74.97,91.65,86.37,76.12,78.0,79.26,76.12,82.11,77.45,78.0,78.0,6.25
Comtec,83.41,73.86,95.65,100.0,88.06,100.0,94.59,73.86,80.81,81.0,83.62,87.58,73.86,79.62,73.86,76.64,76.64,91.64,87.58,73.86,90.53,73.86,76.64,89.6,73.86,78.65,78.65,73.86,76.64,93.74,89.6,76.64,73.86,94.41,73.86,73.86,89.6,89.6,89.6,100.0,80.81,88.36,73.86,88.36,93.55,77.31,83.62,73.86,83.41,73.86,73.86,90.95,83.62,85.08,73.86,93.74,83.58,81.79,73.86,73.86,85.08,100.0,89.6,73.86,88.53,87.17,78.65,78.65,86.59,73.86,76.64,93.74,78.65,87.17,73.86,83.41,89.6,85.89,78.65,80.2,87.58,73.86,82.94,73.86,73.86,90.95,89.6,100.0,83.41,87.17,78.58,78.65,81.0,75.26,76.64,80.81,93.74,73.86,100.0,80.2,86.67,85.6,93.47,73.86,76.64,86.43,76.64,95.11,73.86,73.86,100.0,92.08,73.86,73.86,78.65,84.65,73.86,73.86,73.86,73.86,78.65,100.0,80.81,100.0,79.62,82.78,100.0,92.08,76.64,80.81,83.41,73.86,93.74,89.6,83.18,73.86,73.86,78.65,90.97,93.74,76.64,73.86,80.81,76.64,81.0,78.58,73.86,73.86,5.478260869565218
Grip Security,81.78,68.46,92.31,100.0,85.7,100.0,91.03,68.46,78.75,76.01,80.41,82.89,68.46,81.61,68.46,72.34,72.34,87.42,82.89,68.46,86.5,68.46,72.34,86.06,68.46,80.46,80.46,68.46,72.34,90.8,86.06,72.34,68.46,93.08,68.46,68.46,86.06,86.06,86.06,100.0,78.75,84.67,68.46,84.22,91.95,76.3,80.41,68.46,81.78,68.46,68.46,88.41,80.41,83.8,68.46,90.8,78.91,78.54,68.46,68.46,83.8,100.0,86.06,68.46,88.81,84.54,80.46,80.46,82.99,68.46,72.34,90.8,80.46,84.54,68.46,81.78,86.06,80.81,80.46,76.32,82.89,68.46,79.1,68.46,68.46,88.41,86.06,100.0,81.78,84.54,74.98,80.46,76.01,74.15,72.34,78.75,90.8,68.46,100.0,76.32,84.04,80.7,91.03,68.46,72.34,82.25,72.34,93.9,68.46,68.46,100.0,87.47,68.46,68.46,80.46,83.21,68.46,68.46,68.46,68.46,80.46,100.0,78.75,100.0,81.61,79.19,100.0,87.47,72.34,78.75,81.78,68.46,90.8,86.06,85.2,68.46,68.46,80.46,87.43,90.8,72.34,68.46,78.75,72.34,76.01,74.98,68.46,68.46,3.4285714285714293
EverC,86.04,79.85,90.73,100.0,86.26,100.0,91.77,79.85,80.1,83.19,84.93,89.92,79.85,78.15,79.85,76.71,76.71,89.49,89.92,79.85,87.15,79.85,76.71,88.46,79.85,78.01,78.01,79.85,76.71,86.2,88.46,76.71,79.85,89.51,79.85,79.85,88.46,88.46,88.46,100.0,80.1,88.1,79.85,89.98,89.5,75.74,84.93,79.85,86.04,79.85,79.85,87.49,84.93,86.98,79.85,86.2,85.28,80.2,79.85,79.85,86.98,100.0,88.46,79.85,85.15,85.26,78.01,78.01,84.42,79.85,76.71,86.2,78.01,85.26,79.85,86.04,88.46,87.02,78.01,79.67,89.92,79.85,86.53,79.85,79.85,87.49,88.46,100.0,86.04,85.26,77.48,78.01,83.19,75.13,76.71,80.1,86.2,79.85,100.0,79.67,85.23,83.44,88.27,79.85,76.71,85.04,76.71,88.82,79.85,79.85,100.0,90.48,79.85,79.85,78.01,82.64,79.85,79.85,79.85,79.85,78.01,100.0,80.1,100.0,78.15,85.35,100.0,90.48,76.71,80.1,86.04,79.85,86.2,88.46,80.26,79.85,79.85,78.01,89.6,86.2,76.71,79.85,80.1,76.71,83.19,77.48,79.85,79.85,6.25
